experiment,scheme,best_fitness,mean_fitness,std_fitness
body_structure,all_cylinder,2.657215730576053,2.528985463022639,0.11517404510303575
body_structure,all_box,3.5034392916221835,2.4719916205161483,0.8964798644520142
body_structure,all_sphere,3.565841333694262,2.6442898757793607,0.8037423217897499
body_structure,box_base_cyl_limbs,2.7042036049107634,2.2709592641139205,0.42868177234529964
body_structure,sphere_base_cyl_limbs,2.7377193488621314,2.210519207410506,0.4600467036051232
body_structure,cyl_base_box_limbs,3.363053475262886,2.7388564439040906,0.5548660703855764
