param,best_value,best,mean
pop_size,60.0,3.5997691240699057,2.8202967678434416
gene_count,10.0,3.958499381825633,2.7862876775374636
point_mutate_rate,0.05,3.4926529907119788,2.788533320209037
point_mutate_amount,0.05,3.4668014420627165,3.151716360610067
shrink_mutate_rate,0.25,4.013543435273533,3.2607307089249566
grow_mutate_rate,0.25,3.039383360093173,2.6303842373466972
elitism_count,5.0,4.127195497005609,3.2160693454521705
