generation,best_fitness,mean_fitness,std_fitness,best_ever,mean_links,max_links
0,1.0564665372855055,0.1569710302314585,0.23471484064110545,0,16.15,46
1,1.1830134369895122,0.20733888527543062,0.30490827620631933,1.0564665372855055,11.275,49
2,1.1830134369895122,0.28810566070503274,0.362089035584661,1.1830134369895122,7.55,31
3,1.1830134369895122,0.2615002354322008,0.2962107579269812,1.1830134369895122,6.325,30
4,1.1830134369895122,0.3111792555248195,0.37296842180874396,1.1830134369895122,5.0,18
5,1.198625843898964,0.285084737011018,0.36378776381466305,1.1830134369895122,3.95,18
6,1.198625843898964,0.3795967278140666,0.34673310930356227,1.198625843898964,3.775,18
7,1.198625843898964,0.5473096493679662,0.3040040967237284,1.198625843898964,1.925,7
8,1.198625843898964,0.6601643805399012,0.23223760525236506,1.198625843898964,1.575,8
9,1.198625843898964,0.6595120098513153,0.2268893512296471,1.198625843898964,1.525,7
10,1.198625843898964,0.6626493236432142,0.24446737383411454,1.198625843898964,1.5,5
11,1.2831748514776058,0.7142834340518853,0.22878155356783822,1.198625843898964,1.75,4
12,1.2831748514776058,0.6504454107172791,0.2724627145602976,1.2831748514776058,1.675,4
13,1.2831748514776058,0.6654617094691144,0.23813719716370596,1.2831748514776058,1.875,5
14,1.2831748514776058,0.6791350553731126,0.2520776721116858,1.2831748514776058,1.5,5
15,1.2831748514776058,0.5945408256269424,0.3152265704392059,1.2831748514776058,1.6,4
16,1.2831748514776058,0.7374708027844417,0.1729581330553971,1.2831748514776058,1.425,4
17,1.2831748514776058,0.6931223111787039,0.23033100416610758,1.2831748514776058,1.45,4
18,1.2831748514776058,0.6855235811307951,0.21701224747405676,1.2831748514776058,1.425,4
19,1.2831748514776058,0.6986852954924286,0.23562170824409756,1.2831748514776058,1.8,13
20,1.2831748514776058,0.7271162316582944,0.19022911166935827,1.2831748514776058,1.45,4
21,1.2831748514776058,0.729400011224498,0.15574918068632515,1.2831748514776058,1.7,6
22,1.2831748514776058,0.6633838852035178,0.24786428406632607,1.2831748514776058,1.85,5
23,1.2831748514776058,0.6661969847571783,0.2604886268037512,1.2831748514776058,1.675,7
24,1.2831748514776058,0.5938951630862127,0.3071269116093083,1.2831748514776058,1.55,4
25,1.2831748514776058,0.6607620585940681,0.23655926859101706,1.2831748514776058,1.275,4
26,1.2831748514776058,0.7454460771962329,0.11152848295732064,1.2831748514776058,1.4,4
27,1.2831748514776058,0.6542982015977566,0.24841432973021285,1.2831748514776058,1.55,4
28,1.2831748514776058,0.6599117738122169,0.2808328949065014,1.2831748514776058,2.15,7
29,1.2831748514776058,0.7224188128153504,0.18400636102172604,1.2831748514776058,1.95,4
30,1.2831748514776058,0.6184681505547618,0.33368739306512124,1.2831748514776058,2.175,13
