generation,best_fitness,mean_fitness,std_fitness,best_ever,mean_links,max_links
0,1.2904054991316223,0.22169541807932314,0.3206198613703556,0,58.4,364
1,1.2904054991316223,0.20436211702782847,0.32659169470737875,1.2904054991316223,34.85,94
2,1.2904054991316223,0.3489590632843262,0.430501011300599,1.2904054991316223,29.1,110
3,1.2904054991316223,0.3133018471508655,0.36973543476179155,1.2904054991316223,22.475,118
4,1.2904054991316223,0.25920037989253275,0.347609593617119,1.2904054991316223,17.575,85
5,1.2904054991316223,0.22014357823203984,0.3168474732017933,1.2904054991316223,12.875,43
6,2.0783859787699184,0.32200926366850585,0.43575762477557217,1.2904054991316223,11.05,53
7,2.0783859787699184,0.3582228598401433,0.43494187917400096,2.0783859787699184,15.125,65
8,2.0783859787699184,0.2200203939683732,0.3784636000677102,2.0783859787699184,14.875,87
9,2.0783859787699184,0.30255555146382224,0.42891776802660564,2.0783859787699184,22.15,89
10,2.0783859787699184,0.3480548985804024,0.5007996651426003,2.0783859787699184,17.875,61
11,2.0783859787699184,0.38375751698925104,0.4973282515113017,2.0783859787699184,18.275,91
12,2.0783859787699184,0.3545223154088707,0.43733326093454244,2.0783859787699184,15.95,64
13,2.0783859787699184,0.3593356392830677,0.40998732755573386,2.0783859787699184,11.825,53
14,2.0783859787699184,0.25300721160663214,0.37134653425273895,2.0783859787699184,13.0,53
15,2.0783859787699184,0.2554931844527982,0.3707646036778916,2.0783859787699184,12.05,67
16,2.0783859787699184,0.325631129273695,0.4178178955665074,2.0783859787699184,9.45,72
17,2.0783859787699184,0.2735932164692162,0.41833014550188596,2.0783859787699184,10.975,64
18,2.0783859787699184,0.24851413558829433,0.38799152053583624,2.0783859787699184,11.5,54
19,2.0783859787699184,0.22692488953905424,0.37789515915638683,2.0783859787699184,13.1,79
20,2.0783859787699184,0.27221326496060083,0.4280294879998044,2.0783859787699184,15.725,67
21,2.0783859787699184,0.38147726076669414,0.44483031299665265,2.0783859787699184,14.7,77
22,2.0783859787699184,0.3695221368595546,0.47367991892907124,2.0783859787699184,15.825,101
23,2.0783859787699184,0.384328324488282,0.4385871361939692,2.0783859787699184,15.1,105
24,2.0783859787699184,0.4023469401742812,0.4464687136635999,2.0783859787699184,8.775,53
25,2.0783859787699184,0.44071265589937053,0.49372916277504536,2.0783859787699184,8.6,53
26,2.0783859787699184,0.3683033320862326,0.4640452461867502,2.0783859787699184,8.6,53
27,2.0783859787699184,0.40009678674865656,0.4220152076868514,2.0783859787699184,10.525,58
28,2.0783859787699184,0.5770119206902169,0.3805681647170804,2.0783859787699184,7.25,56
29,2.0783859787699184,0.7143081262034674,0.2859868949338358,2.0783859787699184,3.8,53
30,2.0783859787699184,0.6395560445805163,0.35004780779618805,2.0783859787699184,4.625,53
31,2.0783859787699184,0.637053865831135,0.3600294837921048,2.0783859787699184,4.75,53
32,2.0783859787699184,0.6508698213898518,0.3532747254608486,2.0783859787699184,3.875,53
33,2.0783859787699184,0.6520219892333989,0.3547929409699592,2.0783859787699184,4.85,53
34,2.0783859787699184,0.6288507952453184,0.3625051442626889,2.0783859787699184,5.925,53
35,2.0783859787699184,0.6505879645616709,0.35386089364648265,2.0783859787699184,4.4,53
36,2.0783859787699184,0.7401324258826876,0.3173857152671333,2.0783859787699184,2.925,53
37,2.0783859787699184,0.715741892855127,0.2900378630108218,2.0783859787699184,3.175,53
38,2.0783859787699184,0.644602165426338,0.3520525934763461,2.0783859787699184,3.8,53
39,2.0783859787699184,0.6685012132991783,0.34344755829494295,2.0783859787699184,4.7,53
40,2.0783859787699184,0.5939508576302311,0.38810052050938804,2.0783859787699184,6.925,64
41,2.0783859787699184,0.6087797661498368,0.37751462524818047,2.0783859787699184,3.725,53
42,2.0783859787699184,0.6651849852961363,0.34832978950308535,2.0783859787699184,4.575,58
43,2.0783859787699184,0.684075612853076,0.3238496334666691,2.0783859787699184,4.025,53
44,2.0783859787699184,0.6550373881111231,0.3361629842690676,2.0783859787699184,3.9,53
45,2.0783859787699184,0.6196738924991481,0.36215631173873014,2.0783859787699184,6.825,55
46,2.0783859787699184,0.596928752800376,0.39121649187735935,2.0783859787699184,6.625,56
47,2.0783859787699184,0.6144958685251672,0.3714037321353985,2.0783859787699184,5.7,53
48,2.0783859787699184,0.6375997286051771,0.3500199563873314,2.0783859787699184,9.8,53
