generation,best_fitness,mean_fitness,std_fitness,best_ever,mean_links,max_links
0,1.6207176336659022,0.21410557021331256,0.34846283878838086,0,14.5,34
1,1.6207176336659022,0.30481669412014006,0.3884866706283708,1.6207176336659022,11.5,23
2,1.6207176336659022,0.28981846878692946,0.37527262789941057,1.6207176336659022,8.775,27
3,1.6207176336659022,0.41707571966615775,0.4527921203941772,1.6207176336659022,7.75,24
4,1.6207176336659022,0.2875052744717223,0.3763285689973939,1.6207176336659022,9.05,31
5,1.6207176336659022,0.38519746574862007,0.4554504125349442,1.6207176336659022,8.025,19
6,1.6207176336659022,0.34707627027710525,0.39062123235904317,1.6207176336659022,7.625,17
7,1.7180109206262781,0.33735909931415337,0.4495374925462308,1.6207176336659022,6.6,16
8,1.7180109206262781,0.4049711049117787,0.43588709522093727,1.7180109206262781,6.375,13
9,1.7180109206262781,0.4351793797648861,0.43297580638461086,1.7180109206262781,6.425,19
10,1.7180109206262781,0.5039483307751434,0.43630994182310406,1.7180109206262781,5.775,16
11,1.7180109206262781,0.45912919646808514,0.4551609706276278,1.7180109206262781,5.025,14
12,1.7180109206262781,0.39461829299902484,0.44266351786003516,1.7180109206262781,4.425,13
13,1.7180109206262781,0.46691514271492707,0.48893936879578853,1.7180109206262781,3.95,13
14,1.7180109206262781,0.461662441055117,0.5070556253871534,1.7180109206262781,3.275,9
15,1.7180109206262781,0.3386774965124103,0.46053040312734744,1.7180109206262781,2.825,7
16,1.7180109206262781,0.4437147274991915,0.48509634035719784,1.7180109206262781,2.975,6
17,1.7180109206262781,0.43147151774820447,0.47487132200524496,1.7180109206262781,3.35,10
18,1.7180109206262781,0.3833230277700577,0.4557663574678966,1.7180109206262781,2.475,7
19,1.7180109206262781,0.5056574469423257,0.5767866959568735,1.7180109206262781,3.375,8
20,1.7180109206262781,0.39096762128531354,0.47822826781556027,1.7180109206262781,3.75,12
21,1.7180109206262781,0.47963321226098526,0.5250545162683073,1.7180109206262781,4.275,10
22,1.7180109206262781,0.4650614725294485,0.4851540671701423,1.7180109206262781,4.0,13
23,1.7180109206262781,0.45494319582475595,0.45394743880109234,1.7180109206262781,4.075,13
24,1.7180109206262781,0.41261718583837814,0.4688663503001694,1.7180109206262781,3.575,8
25,1.7180109206262781,0.42665535550678335,0.532627602525477,1.7180109206262781,4.075,7
26,1.7180109206262781,0.47394267590950145,0.5165155460741698,1.7180109206262781,4.475,10
27,1.7180109206262781,0.37184802979226267,0.48416623196096376,1.7180109206262781,4.3,10
28,1.7180109206262781,0.4010414951916291,0.4908933656517196,1.7180109206262781,4.325,9
29,1.9163019070068883,0.35898456017510394,0.4727323001397347,1.7180109206262781,3.85,10
30,1.9163019070068883,0.4039344498747107,0.4763745762988917,1.9163019070068883,4.15,10
31,1.9316499907997768,0.5586676276139627,0.6024945737870834,1.9163019070068883,4.0,11
32,1.9316499907997768,0.5408665999184344,0.5432526622705305,1.9316499907997768,3.85,10
33,1.9316499907997768,0.26208827196164314,0.3816318277219423,1.9316499907997768,3.15,13
34,1.9316499907997768,0.3598349465289133,0.43427873778956044,1.9316499907997768,2.85,9
35,1.9316499907997768,0.5209013631550273,0.5664628564585107,1.9316499907997768,3.575,9
36,1.9339045277310511,0.566101945909594,0.6286977538247279,1.9316499907997768,3.8,11
37,1.9339045277310511,0.5025680583864042,0.5834817745962948,1.9339045277310511,3.3,11
38,1.9339045277310511,0.385259691657395,0.5016832361747361,1.9339045277310511,2.875,8
39,1.9339045277310511,0.478390115133719,0.5852262349565529,1.9339045277310511,3.275,9
40,1.9339045277310511,0.5094434834670611,0.6288598158142555,1.9339045277310511,3.475,12
41,1.977344091679851,0.5302284320548105,0.6767356930040663,1.9339045277310511,2.925,9
42,1.977344091679851,0.4801526168862396,0.5732788460690507,1.977344091679851,3.2,10
43,1.977344091679851,0.5407078156399722,0.5503526689867372,1.977344091679851,3.3,12
44,1.977344091679851,0.5088484639062176,0.6326524698014332,1.977344091679851,2.825,7
45,1.977344091679851,0.5812231590499606,0.6259876429729196,1.977344091679851,3.325,13
46,2.039403189647019,0.45838988332339003,0.6329643218344776,1.977344091679851,3.275,7
47,2.039403189647019,0.5139102688246904,0.6688261990731852,2.039403189647019,2.8,7
48,2.039403189647019,0.4161152643090512,0.5163908620660104,2.039403189647019,2.925,11
49,2.039403189647019,0.5593434216448745,0.6010166626013905,2.039403189647019,2.675,5
50,2.074745919124541,0.4629051763396309,0.6260655637300425,2.039403189647019,3.125,11
51,2.074745919124541,0.6273431975201385,0.7410618949746369,2.074745919124541,3.725,9
52,2.074745919124541,0.2997846719790491,0.5133703097275495,2.074745919124541,3.95,11
53,2.074745919124541,0.5249101468517594,0.6602319046446355,2.074745919124541,4.225,14
54,2.0856932206316507,0.5518589691564937,0.7081543799822252,2.074745919124541,3.825,40
55,2.0856932206316507,0.7457556490812911,0.7488575093043041,2.0856932206316507,2.75,8
56,2.0856932206316507,0.5679542429911718,0.7269394962900995,2.0856932206316507,2.725,5
57,2.125377521321055,0.6781628880910022,0.8108743836461916,2.0856932206316507,2.6,7
